"Pos","Squad","stat","total_value"
"GK","Sheffield Utd","Ass",0
"GK","Sheffield Utd","Blocks",0
"GK","Sheffield Utd","Cha.lost",1
"GK","Sheffield Utd","Clr",18
"GK","Sheffield Utd","Cmp.",56.5
"GK","Sheffield Utd","Dist",0
"GK","Sheffield Utd","Err",6
"GK","Sheffield Utd","FK",0
"GK","Sheffield Utd","G.Sh",0
"GK","Sheffield Utd","Gls",0
"GK","Sheffield Utd","Int",0
"GK","Sheffield Utd","PK",0
"GK","Sheffield Utd","PenS",0
"GK","Sheffield Utd","Rcd",0
"GK","Sheffield Utd","Saves",84
"GK","Sheffield Utd","Sh",0
"GK","Sheffield Utd","SoT",0
"GK","Sheffield Utd","Tkl",5
"GK","Sheffield Utd","TklW",3
"GK","Sheffield Utd","xG",0
"GK","Tottenham","Aer.lost",1
"GK","Tottenham","Ass",0
"GK","Tottenham","Blocks",0
"GK","Tottenham","Cha.lost",1
"GK","Tottenham","Clr",31
"GK","Tottenham","Cmp.",85.1
"GK","Tottenham","Dist",0
"GK","Tottenham","Err",2
"GK","Tottenham","FK",0
"GK","Tottenham","G.Sh",0
"GK","Tottenham","Gls",0
"GK","Tottenham","Int",1
"GK","Tottenham","PK",0
"GK","Tottenham","PenS",0
"GK","Tottenham","Rcd",0
"GK","Tottenham","Saves",57
"GK","Tottenham","Sh",0
"GK","Tottenham","SoT",0
"GK","Tottenham","Tkl",0
"GK","Tottenham","TklW",0
"GK","Tottenham","xG",0
"GK","West Ham","Aer.lost",1
"GK","West Ham","Ass",0
"GK","West Ham","Blocks",0
"GK","West Ham","Cha.lost",2
"GK","West Ham","Clr",16
"GK","West Ham","Cmp.",64.8
"GK","West Ham","Dist",0
"GK","West Ham","Err",0
"GK","West Ham","FK",0
"GK","West Ham","G.Sh",0
"GK","West Ham","Gls",0
"GK","West Ham","Int",1
"GK","West Ham","PK",0
"GK","West Ham","PenS",1
"GK","West Ham","Rcd",0
"GK","West Ham","Saves",63
"GK","West Ham","Sh",0
"GK","West Ham","SoT",0
"GK","West Ham","Tkl",1
"GK","West Ham","TklW",1
"GK","West Ham","xG",0
"GK","Wolves","Aer.lost",0
"GK","Wolves","Ass",0
"GK","Wolves","Blocks",0
"GK","Wolves","Cha.lost",1
"GK","Wolves","Clr",1
"GK","Wolves","Cmp.",66.7
"GK","Wolves","Dist",0
"GK","Wolves","Err",0
"GK","Wolves","FK",0
"GK","Wolves","G.Sh",0
"GK","Wolves","Gls",0
"GK","Wolves","Int",0
"GK","Wolves","PK",0
"GK","Wolves","PenS",0
"GK","Wolves","Rcd",0
"GK","Wolves","Saves",57
"GK","Wolves","Sh",0
"GK","Wolves","SoT",0
"GK","Wolves","Tkl",0
"GK","Wolves","TklW",0
"GK","Wolves","xG",0
"MF","Arsenal","Aer.lost",165
"MF","Arsenal","Ass",22
"MF","Arsenal","Blocks",92
"MF","Arsenal","Cha.lost",70
"MF","Arsenal","Clr",93
"MF","Arsenal","Cmp.",87.8
"MF","Arsenal","Dist",18.9333333333333
"MF","Arsenal","Err",1
"MF","Arsenal","FK",4
"MF","Arsenal","G.Sh",0.42
"MF","Arsenal","Gls",23
"MF","Arsenal","Int",93
"MF","Arsenal","PK",4
"MF","Arsenal","PenS",0
"MF","Arsenal","Rcd",1
"MF","Arsenal","Saves",0
"MF","Arsenal","Sh",162
"MF","Arsenal","SoT",54
"MF","Arsenal","Tkl",163
"MF","Arsenal","TklW",90
"MF","Arsenal","xG",20.1
"MF","Aston Villa","Aer.lost",193
"MF","Aston Villa","Ass",21
"MF","Aston Villa","Blocks",148
"MF","Aston Villa","Cha.lost",152
"MF","Aston Villa","Clr",91
"MF","Aston Villa","Cmp.",83.8
"MF","Aston Villa","Dist",18.0333333333333
"MF","Aston Villa","Err",3
"MF","Aston Villa","FK",9
"MF","Aston Villa","G.Sh",1.27
"MF","Aston Villa","Gls",28
"MF","Aston Villa","Int",98
"MF","Aston Villa","PK",4
"MF","Aston Villa","PenS",0
"MF","Aston Villa","Rcd",1
"MF","Aston Villa","Saves",0
"MF","Aston Villa","Sh",178
"MF","Aston Villa","SoT",61
"MF","Aston Villa","Tkl",238
"MF","Aston Villa","TklW",139
"MF","Aston Villa","xG",21.2
"MF","Bournemouth","Aer.lost",141
"MF","Bournemouth","Ass",10
"MF","Bournemouth","Blocks",151
"MF","Bournemouth","Cha.lost",148
"MF","Bournemouth","Clr",160
"MF","Bournemouth","Cmp.",76.4
"MF","Bournemouth","Dist",21.8333333333333
"MF","Bournemouth","Err",5
"MF","Bournemouth","FK",11
"MF","Bournemouth","G.Sh",0.32
"MF","Bournemouth","Gls",8
"MF","Bournemouth","Int",164
"MF","Bournemouth","PK",0
"MF","Bournemouth","PenS",0
"MF","Bournemouth","Rcd",1
"MF","Bournemouth","Saves",0
"MF","Bournemouth","Sh",121
"MF","Bournemouth","SoT",40
"MF","Bournemouth","Tkl",244
"MF","Bournemouth","TklW",136
"MF","Bournemouth","xG",9.3
"MF","Brentford","Aer.lost",87
"MF","Brentford","Ass",13
"MF","Brentford","Blocks",136
"MF","Brentford","Cha.lost",154
"MF","Brentford","Clr",127
"MF","Brentford","Cmp.",73.8333333333333
"MF","Brentford","Dist",16.8571428571429
"MF","Brentford","Err",5
"MF","Brentford","FK",4
"MF","Brentford","G.Sh",0.81
"MF","Brentford","Gls",6
"MF","Brentford","Int",102
"MF","Brentford","PK",0
"MF","Brentford","PenS",0
"MF","Brentford","Rcd",0
"MF","Brentford","Saves",0
"MF","Brentford","Sh",101
"MF","Brentford","SoT",35
"MF","Brentford","Tkl",204
"MF","Brentford","TklW",126
"MF","Brentford","xG",10
"MF","Brighton","Aer.lost",56
"MF","Brighton","Ass",22
"MF","Brighton","Blocks",91
"MF","Brighton","Cha.lost",81
"MF","Brighton","Clr",68
"MF","Brighton","Cmp.",85.2857142857143
"MF","Brighton","Dist",21.0125
"MF","Brighton","Err",4
"MF","Brighton","FK",4
"MF","Brighton","G.Sh",0.16
"MF","Brighton","Gls",6
"MF","Brighton","Int",38
"MF","Brighton","PK",1
"MF","Brighton","PenS",0
"MF","Brighton","Rcd",1
"MF","Brighton","Saves",0
"MF","Brighton","Sh",144
"MF","Brighton","SoT",43
"MF","Brighton","Tkl",113
"MF","Brighton","TklW",58
"MF","Brighton","xG",12.1
"MF","Burnley","Aer.lost",187
"MF","Burnley","Ass",6
"MF","Burnley","Blocks",181
"MF","Burnley","Cha.lost",102
"MF","Burnley","Clr",174
"MF","Burnley","Cmp.",75.41
"MF","Burnley","Dist",19.5111111111111
"MF","Burnley","Err",4
"MF","Burnley","FK",10
"MF","Burnley","G.Sh",0.49
"MF","Burnley","Gls",13
"MF","Burnley","Int",89
"MF","Burnley","PK",1
"MF","Burnley","PenS",0
"MF","Burnley","Rcd",1
"MF","Burnley","Saves",0
"MF","Burnley","Sh",166
"MF","Burnley","SoT",48
"MF","Burnley","Tkl",235
"MF","Burnley","TklW",148
"MF","Burnley","xG",12.8
"MF","Chelsea","Aer.lost",33
"MF","Chelsea","Ass",19
"MF","Chelsea","Blocks",57
"MF","Chelsea","Cha.lost",52
"MF","Chelsea","Clr",40
"MF","Chelsea","Cmp.",86.5666666666667
"MF","Chelsea","Dist",22.1
"MF","Chelsea","Err",0
"MF","Chelsea","FK",2
"MF","Chelsea","G.Sh",0.46
"MF","Chelsea","Gls",7
"MF","Chelsea","Int",44
"MF","Chelsea","PK",1
"MF","Chelsea","PenS",0
"MF","Chelsea","Rcd",1
"MF","Chelsea","Saves",0
"MF","Chelsea","Sh",95
"MF","Chelsea","SoT",30
"MF","Chelsea","Tkl",105
"MF","Chelsea","TklW",66
"MF","Chelsea","xG",9.6
"MF","Crystal Palace","Aer.lost",95
"MF","Crystal Palace","Ass",8
"MF","Crystal Palace","Blocks",118
"MF","Crystal Palace","Cha.lost",95
"MF","Crystal Palace","Clr",134
"MF","Crystal Palace","Cmp.",81.1285714285714
"MF","Crystal Palace","Dist",19.7142857142857
"MF","Crystal Palace","Err",1
"MF","Crystal Palace","FK",10
"MF","Crystal Palace","G.Sh",0.12
"MF","Crystal Palace","Gls",7
"MF","Crystal Palace","Int",93
"MF","Crystal Palace","PK",1
"MF","Crystal Palace","PenS",0
"MF","Crystal Palace","Rcd",1
"MF","Crystal Palace","Saves",0
"MF","Crystal Palace","Sh",122
"MF","Crystal Palace","SoT",40
"MF","Crystal Palace","Tkl",213
"MF","Crystal Palace","TklW",123
"MF","Crystal Palace","xG",10.6
"MF","Everton","Aer.lost",134
"MF","Everton","Ass",9
"MF","Everton","Blocks",180
"MF","Everton","Cha.lost",159
"MF","Everton","Clr",155
"MF","Everton","Cmp.",72.6272727272727
"MF","Everton","Dist",19.1444444444444
"MF","Everton","Err",1
"MF","Everton","FK",8
"MF","Everton","G.Sh",0.7
"MF","Everton","Gls",12
"MF","Everton","Int",136
"MF","Everton","PK",0
"MF","Everton","PenS",0
"MF","Everton","Rcd",0
"MF","Everton","Saves",0
"MF","Everton","Sh",192
"MF","Everton","SoT",55
"MF","Everton","Tkl",331
"MF","Everton","TklW",186
"MF","Everton","xG",14.9
"MF","Fulham","Aer.lost",55
"MF","Fulham","Ass",20
"MF","Fulham","Blocks",51
"MF","Fulham","Cha.lost",61
"MF","Fulham","Clr",42
"MF","Fulham","Cmp.",80.325
"MF","Fulham","Dist",18.4
"MF","Fulham","Err",0
"MF","Fulham","FK",6
"MF","Fulham","G.Sh",0.3
"MF","Fulham","Gls",7
"MF","Fulham","Int",28
"MF","Fulham","PK",0
"MF","Fulham","PenS",0
"MF","Fulham","Rcd",0
"MF","Fulham","Saves",0
"MF","Fulham","Sh",114
"MF","Fulham","SoT",35
"MF","Fulham","Tkl",79
"MF","Fulham","TklW",47
"MF","Fulham","xG",8.5
"MF","Liverpool","Aer.lost",114
"MF","Liverpool","Ass",18
"MF","Liverpool","Blocks",202
"MF","Liverpool","Cha.lost",198
"MF","Liverpool","Clr",99
"MF","Liverpool","Cmp.",82.8
"MF","Liverpool","Dist",22.1
"MF","Liverpool","Err",5
"MF","Liverpool","FK",9
"MF","Liverpool","G.Sh",0.41
"MF","Liverpool","Gls",11
"MF","Liverpool","Int",99
"MF","Liverpool","PK",1
"MF","Liverpool","PenS",0
"MF","Liverpool","Rcd",3
"MF","Liverpool","Saves",0
"MF","Liverpool","Sh",158
"MF","Liverpool","SoT",42
"MF","Liverpool","Tkl",265
"MF","Liverpool","TklW",147
"MF","Liverpool","xG",11
"MF","Luton Town","Aer.lost",200
"MF","Luton Town","Ass",5
"MF","Luton Town","Blocks",192
"MF","Luton Town","Cha.lost",148
"MF","Luton Town","Clr",187
"MF","Luton Town","Cmp.",76.5545454545454
"MF","Luton Town","Dist",17.8555555555556
"MF","Luton Town","Err",10
"MF","Luton Town","FK",8
"MF","Luton Town","G.Sh",0.81
"MF","Luton Town","Gls",17
"MF","Luton Town","Int",95
"MF","Luton Town","PK",0
"MF","Luton Town","PenS",0
"MF","Luton Town","Rcd",0
"MF","Luton Town","Saves",0
"MF","Luton Town","Sh",198
"MF","Luton Town","SoT",55
"MF","Luton Town","Tkl",260
"MF","Luton Town","TklW",142
"MF","Luton Town","xG",16.7
"MF","Manchester City","Aer.lost",95
"MF","Manchester City","Ass",19
"MF","Manchester City","Blocks",99
"MF","Manchester City","Cha.lost",120
"MF","Manchester City","Clr",100
"MF","Manchester City","Cmp.",80.9470588235294
"MF","Manchester City","Dist",19.5666666666667
"MF","Manchester City","Err",9
"MF","Manchester City","FK",17
"MF","Manchester City","G.Sh",0.55
"MF","Manchester City","Gls",24
"MF","Manchester City","Int",59
"MF","Manchester City","PK",1
"MF","Manchester City","PenS",0
"MF","Manchester City","Rcd",2
"MF","Manchester City","Saves",0
"MF","Manchester City","Sh",211
"MF","Manchester City","SoT",77
"MF","Manchester City","Tkl",187
"MF","Manchester City","TklW",103
"MF","Manchester City","xG",20.3
"MF","Manchester Utd","Aer.lost",142
"MF","Manchester Utd","Ass",8
"MF","Manchester Utd","Blocks",221
"MF","Manchester Utd","Cha.lost",195
"MF","Manchester Utd","Clr",240
"MF","Manchester Utd","Cmp.",81.55
"MF","Manchester Utd","Dist",19.9285714285714
"MF","Manchester Utd","Err",6
"MF","Manchester Utd","FK",13
"MF","Manchester Utd","G.Sh",1.93
"MF","Manchester Utd","Gls",19
"MF","Manchester Utd","Int",99
"MF","Manchester Utd","PK",2
"MF","Manchester Utd","PenS",0
"MF","Manchester Utd","Rcd",0
"MF","Manchester Utd","Saves",0
"MF","Manchester Utd","Sh",163
"MF","Manchester Utd","SoT",62
"MF","Manchester Utd","Tkl",317
"MF","Manchester Utd","TklW",192
"MF","Manchester Utd","xG",17.1
"MF","Newcastle Utd","Aer.lost",80
"MF","Newcastle Utd","Ass",18
"MF","Newcastle Utd","Blocks",119
"MF","Newcastle Utd","Cha.lost",107
"MF","Newcastle Utd","Clr",80
"MF","Newcastle Utd","Cmp.",85.875
"MF","Newcastle Utd","Dist",15.2714285714286
"MF","Newcastle Utd","Err",3
"MF","Newcastle Utd","FK",0
"MF","Newcastle Utd","G.Sh",0.92
"MF","Newcastle Utd","Gls",13
"MF","Newcastle Utd","Int",55
"MF","Newcastle Utd","PK",0
"MF","Newcastle Utd","PenS",0
"MF","Newcastle Utd","Rcd",0
"MF","Newcastle Utd","Saves",0
"MF","Newcastle Utd","Sh",113
"MF","Newcastle Utd","SoT",37
"MF","Newcastle Utd","Tkl",171
"MF","Newcastle Utd","TklW",111
"MF","Newcastle Utd","xG",13.4
"MF","Nott'ham Forest","Aer.lost",118
"MF","Nott'ham Forest","Ass",9
"MF","Nott'ham Forest","Blocks",120
"MF","Nott'ham Forest","Cha.lost",75
"MF","Nott'ham Forest","Clr",139
"MF","Nott'ham Forest","Cmp.",81.85
"MF","Nott'ham Forest","Dist",19.8571428571429
"MF","Nott'ham Forest","Err",1
"MF","Nott'ham Forest","FK",3
"MF","Nott'ham Forest","G.Sh",0.31
"MF","Nott'ham Forest","Gls",8
"MF","Nott'ham Forest","Int",100
"MF","Nott'ham Forest","PK",1
"MF","Nott'ham Forest","PenS",0
"MF","Nott'ham Forest","Rcd",0
"MF","Nott'ham Forest","Saves",0
"MF","Nott'ham Forest","Sh",132
"MF","Nott'ham Forest","SoT",29
"MF","Nott'ham Forest","Tkl",165
"MF","Nott'ham Forest","TklW",94
"MF","Nott'ham Forest","xG",11
"MF","Sheffield Utd","Aer.lost",158
"MF","Sheffield Utd","Ass",4
"MF","Sheffield Utd","Blocks",193
"MF","Sheffield Utd","Cha.lost",176
"MF","Sheffield Utd","Clr",228
"MF","Sheffield Utd","Cmp.",74.2090909090909
"MF","Sheffield Utd","Dist",21.025
"MF","Sheffield Utd","Err",2
"MF","Sheffield Utd","FK",6
"MF","Sheffield Utd","G.Sh",0.27
"MF","Sheffield Utd","Gls",8
"MF","Sheffield Utd","Int",141
"MF","Sheffield Utd","PK",2
"MF","Sheffield Utd","PenS",0
"MF","Sheffield Utd","Rcd",0
"MF","Sheffield Utd","Saves",0
"MF","Sheffield Utd","Sh",100
"MF","Sheffield Utd","SoT",31
"MF","Sheffield Utd","Tkl",336
"MF","Sheffield Utd","TklW",203
"MF","Sheffield Utd","xG",8.1
"MF","Tottenham","Aer.lost",85
"MF","Tottenham","Ass",23
"MF","Tottenham","Blocks",95
"MF","Tottenham","Cha.lost",81
"MF","Tottenham","Clr",109
"MF","Tottenham","Cmp.",86.4285714285714
"MF","Tottenham","Dist",19.6857142857143
"MF","Tottenham","Err",6
"MF","Tottenham","FK",5
"MF","Tottenham","G.Sh",0.47
"MF","Tottenham","Gls",10
"MF","Tottenham","Int",106
"MF","Tottenham","PK",0
"MF","Tottenham","PenS",0
"MF","Tottenham","Rcd",2
"MF","Tottenham","Saves",0
"MF","Tottenham","Sh",139
"MF","Tottenham","SoT",49
"MF","Tottenham","Tkl",210
"MF","Tottenham","TklW",135
"MF","Tottenham","xG",11.6
"MF","West Ham","Aer.lost",46
"MF","West Ham","Ass",17
"MF","West Ham","Blocks",57
"MF","West Ham","Cha.lost",57
"MF","West Ham","Clr",65
"MF","West Ham","Cmp.",81.1857142857143
"MF","West Ham","Dist",18.7333333333333
"MF","West Ham","Err",4
"MF","West Ham","FK",13
"MF","West Ham","G.Sh",0.58
"MF","West Ham","Gls",14
"MF","West Ham","Int",62
"MF","West Ham","PK",2
"MF","West Ham","PenS",0
"MF","West Ham","Rcd",0
"MF","West Ham","Saves",0
"MF","West Ham","Sh",105
"MF","West Ham","SoT",34
"MF","West Ham","Tkl",102
"MF","West Ham","TklW",61
"MF","West Ham","xG",14.2
"MF","Wolves","Aer.lost",113
"MF","Wolves","Ass",16
"MF","Wolves","Blocks",93
"MF","Wolves","Cha.lost",81
"MF","Wolves","Clr",109
"MF","Wolves","Cmp.",82.85
"MF","Wolves","Dist",21.2166666666667
"MF","Wolves","Err",0
"MF","Wolves","FK",9
"MF","Wolves","G.Sh",0.39
"MF","Wolves","Gls",12
"MF","Wolves","Int",96
"MF","Wolves","PK",2
"MF","Wolves","PenS",0
"MF","Wolves","Rcd",2
"MF","Wolves","Saves",0
"MF","Wolves","Sh",133
"MF","Wolves","SoT",44
"MF","Wolves","Tkl",172
"MF","Wolves","TklW",101
"MF","Wolves","xG",12.8
