sitename,itemname,itemengname,itemunit,monitormonth,concentration
小港,細懸浮微粒,PM2.5,μg/m3,2023-03,27
小港,相對濕度,RH,%,2023-03,64
屏東,二氧化硫,SO2,ppb,2023-03,1.6
屏東,一氧化碳,CO,ppm,2023-03,0.34
屏東,臭氧,O3,ppb,2023-03,41.9
屏東,懸浮微粒,PM10,μg/m3,2023-03,52
屏東,氮氧化物,NOx,ppb,2023-03,12.3
屏東,一氧化氮,NO,ppb,2023-03,1
屏東,二氧化氮,NO2,ppb,2023-03,11.2
屏東,風速,WIND_SPEED,m/sec,2023-03,1.6
屏東,溫度,AMB_TEMP,℃,2023-03,24
屏東,細懸浮微粒,PM2.5,μg/m3,2023-03,26
屏東,相對濕度,RH,%,2023-03,62
潮州,二氧化硫,SO2,ppb,2023-03,1.4
潮州,一氧化碳,CO,ppm,2023-03,0.3
潮州,臭氧,O3,ppb,2023-03,41.3
潮州,懸浮微粒,PM10,μg/m3,2023-03,45
潮州,氮氧化物,NOx,ppb,2023-03,9.6
潮州,一氧化氮,NO,ppb,2023-03,0.8
潮州,二氧化氮,NO2,ppb,2023-03,8.7
潮州,風速,WIND_SPEED,m/sec,2023-03,1.6
潮州,溫度,AMB_TEMP,℃,2023-03,22.7
潮州,細懸浮微粒,PM2.5,μg/m3,2023-03,23
潮州,相對濕度,RH,%,2023-03,67
恆春,二氧化硫,SO2,ppb,2023-03,0.7
恆春,一氧化碳,CO,ppm,2023-03,0.16
恆春,臭氧,O3,ppb,2023-03,47.3
恆春,懸浮微粒,PM10,μg/m3,2023-03,13
恆春,氮氧化物,NOx,ppb,2023-03,1.5
恆春,一氧化氮,NO,ppb,2023-03,0.5
恆春,二氧化氮,NO2,ppb,2023-03,0.9
恆春,風速,WIND_SPEED,m/sec,2023-03,5.4
恆春,溫度,AMB_TEMP,℃,2023-03,23
恆春,細懸浮微粒,PM2.5,μg/m3,2023-03,6
恆春,相對濕度,RH,%,2023-03,69
臺東,二氧化硫,SO2,ppb,2023-03,0.6
臺東,一氧化碳,CO,ppm,2023-03,0.21
臺東,臭氧,O3,ppb,2023-03,39.7
臺東,懸浮微粒,PM10,μg/m3,2023-03,17
臺東,氮氧化物,NOx,ppb,2023-03,4.8
臺東,一氧化氮,NO,ppb,2023-03,0.9
臺東,二氧化氮,NO2,ppb,2023-03,3.7
臺東,風速,WIND_SPEED,m/sec,2023-03,1.8
臺東,溫度,AMB_TEMP,℃,2023-03,22.4
臺東,細懸浮微粒,PM2.5,μg/m3,2023-03,8
臺東,相對濕度,RH,%,2023-03,70
花蓮,二氧化硫,SO2,ppb,2023-03,0.7
花蓮,一氧化碳,CO,ppm,2023-03,0.26
花蓮,臭氧,O3,ppb,2023-03,36.8
花蓮,懸浮微粒,PM10,μg/m3,2023-03,22
花蓮,氮氧化物,NOx,ppb,2023-03,5.8
花蓮,一氧化氮,NO,ppb,2023-03,0.7
花蓮,二氧化氮,NO2,ppb,2023-03,5
花蓮,風速,WIND_SPEED,m/sec,2023-03,2
花蓮,溫度,AMB_TEMP,℃,2023-03,21.3
花蓮,細懸浮微粒,PM2.5,μg/m3,2023-03,10
花蓮,相對濕度,RH,%,2023-03,76
陽明,二氧化硫,SO2,ppb,2023-03,0.7
陽明,一氧化碳,CO,ppm,2023-03,0.21
陽明,臭氧,O3,ppb,2023-03,49.4
陽明,懸浮微粒,PM10,μg/m3,2023-03,17
陽明,氮氧化物,NOx,ppb,2023-03,2.9
陽明,一氧化氮,NO,ppb,2023-03,0.5
陽明,二氧化氮,NO2,ppb,2023-03,2.3
陽明,風速,WIND_SPEED,m/sec,2023-03,2.6
陽明,溫度,AMB_TEMP,℃,2023-03,13.4
陽明,細懸浮微粒,PM2.5,μg/m3,2023-03,7
陽明,相對濕度,RH,%,2023-03,87
宜蘭,二氧化硫,SO2,ppb,2023-03,0.8
宜蘭,一氧化碳,CO,ppm,2023-03,0.22
宜蘭,臭氧,O3,ppb,2023-03,37.4
宜蘭,懸浮微粒,PM10,μg/m3,2023-03,22
宜蘭,氮氧化物,NOx,ppb,2023-03,6
宜蘭,一氧化氮,NO,ppb,2023-03,0.8
宜蘭,二氧化氮,NO2,ppb,2023-03,5.1
宜蘭,風速,WIND_SPEED,m/sec,2023-03,1.2
宜蘭,溫度,AMB_TEMP,℃,2023-03,20.6
宜蘭,細懸浮微粒,PM2.5,μg/m3,2023-03,11
宜蘭,相對濕度,RH,%,2023-03,69
冬山,二氧化硫,SO2,ppb,2023-03,0.7
冬山,一氧化碳,CO,ppm,2023-03,0.28
冬山,臭氧,O3,ppb,2023-03,34.9
冬山,懸浮微粒,PM10,μg/m3,2023-03,26
冬山,氮氧化物,NOx,ppb,2023-03,9.3
冬山,一氧化氮,NO,ppb,2023-03,1.8
冬山,二氧化氮,NO2,ppb,2023-03,7.4
冬山,風速,WIND_SPEED,m/sec,2023-03,1.3
冬山,溫度,AMB_TEMP,℃,2023-03,19.5
冬山,細懸浮微粒,PM2.5,μg/m3,2023-03,9
冬山,相對濕度,RH,%,2023-03,76
三重,二氧化硫,SO2,ppb,2023-03,1.2
三重,一氧化碳,CO,ppm,2023-03,0.9
三重,懸浮微粒,PM10,μg/m3,2023-03,34
三重,氮氧化物,NOx,ppb,2023-03,70.4
三重,一氧化氮,NO,ppb,2023-03,36.7
三重,二氧化氮,NO2,ppb,2023-03,33.6
三重,溫度,AMB_TEMP,℃,2023-03,20.5
三重,細懸浮微粒,PM2.5,μg/m3,2023-03,17
三重,相對濕度,RH,%,2023-03,70
中壢,二氧化硫,SO2,ppb,2023-03,1.2
中壢,一氧化碳,CO,ppm,2023-03,0.66
中壢,臭氧,O3,ppb,2023-03,25.3
中壢,懸浮微粒,PM10,μg/m3,2023-03,38
中壢,氮氧化物,NOx,ppb,2023-03,40.2
中壢,一氧化氮,NO,ppb,2023-03,15.4
中壢,二氧化氮,NO2,ppb,2023-03,24.7
中壢,風速,WIND_SPEED,m/sec,2023-03,0.9
中壢,溫度,AMB_TEMP,℃,2023-03,19.2
中壢,細懸浮微粒,PM2.5,μg/m3,2023-03,19
中壢,相對濕度,RH,%,2023-03,77
竹山,二氧化硫,SO2,ppb,2023-03,1.2
竹山,一氧化碳,CO,ppm,2023-03,0.28
竹山,臭氧,O3,ppb,2023-03,35.8
竹山,懸浮微粒,PM10,μg/m3,2023-03,46
竹山,氮氧化物,NOx,ppb,2023-03,12.2
竹山,一氧化氮,NO,ppb,2023-03,1.2
竹山,二氧化氮,NO2,ppb,2023-03,10.9
竹山,風速,WIND_SPEED,m/sec,2023-03,1.2
竹山,溫度,AMB_TEMP,℃,2023-03,20.5
竹山,細懸浮微粒,PM2.5,μg/m3,2023-03,24
竹山,相對濕度,RH,%,2023-03,69
永和,二氧化硫,SO2,ppb,2023-03,1
永和,一氧化碳,CO,ppm,2023-03,0.56
永和,臭氧,O3,ppb,2023-03,31.2
永和,懸浮微粒,PM10,μg/m3,2023-03,32
永和,氮氧化物,NOx,ppb,2023-03,23.8
永和,一氧化氮,NO,ppb,2023-03,6.7
永和,二氧化氮,NO2,ppb,2023-03,17
永和,風速,WIND_SPEED,m/sec,2023-03,1.4
永和,溫度,AMB_TEMP,℃,2023-03,20.3
永和,細懸浮微粒,PM2.5,μg/m3,2023-03,16
永和,相對濕度,RH,%,2023-03,65
復興,二氧化硫,SO2,ppb,2023-03,1.4
復興,一氧化碳,CO,ppm,2023-03,0.5
復興,臭氧,O3,ppb,2023-03,36.5
復興,懸浮微粒,PM10,μg/m3,2023-03,50
復興,氮氧化物,NOx,ppb,2023-03,18.6
復興,一氧化氮,NO,ppb,2023-03,2.1
復興,二氧化氮,NO2,ppb,2023-03,16.4
復興,風速,WIND_SPEED,m/sec,2023-03,0.9
復興,溫度,AMB_TEMP,℃,2023-03,23.1
復興,細懸浮微粒,PM2.5,μg/m3,2023-03,25
復興,相對濕度,RH,%,2023-03,67
埔里,二氧化硫,SO2,ppb,2023-03,1.4
埔里,一氧化碳,CO,ppm,2023-03,0.33
埔里,臭氧,O3,ppb,2023-03,37.8
埔里,懸浮微粒,PM10,μg/m3,2023-03,37
埔里,氮氧化物,NOx,ppb,2023-03,9.2
埔里,一氧化氮,NO,ppb,2023-03,1.8
埔里,二氧化氮,NO2,ppb,2023-03,7.3
埔里,風速,WIND_SPEED,m/sec,2023-03,1.1
埔里,溫度,AMB_TEMP,℃,2023-03,20.6
埔里,細懸浮微粒,PM2.5,μg/m3,2023-03,21
埔里,相對濕度,RH,%,2023-03,65
馬祖,二氧化硫,SO2,ppb,2023-03,1.7
馬祖,一氧化碳,CO,ppm,2023-03,0.27
馬祖,臭氧,O3,ppb,2023-03,49.7
馬祖,懸浮微粒,PM10,μg/m3,2023-03,38
馬祖,氮氧化物,NOx,ppb,2023-03,7.8
馬祖,一氧化氮,NO,ppb,2023-03,0.8
馬祖,二氧化氮,NO2,ppb,2023-03,6.9
馬祖,風速,WIND_SPEED,m/sec,2023-03,1.8
馬祖,溫度,AMB_TEMP,℃,2023-03,14.5
馬祖,細懸浮微粒,PM2.5,μg/m3,2023-03,22
馬祖,相對濕度,RH,%,2023-03,73
金門,二氧化硫,SO2,ppb,2023-03,2
金門,一氧化碳,CO,ppm,2023-03,0.3
金門,臭氧,O3,ppb,2023-03,41.2
金門,懸浮微粒,PM10,μg/m3,2023-03,49
金門,氮氧化物,NOx,ppb,2023-03,14.6
金門,一氧化氮,NO,ppb,2023-03,2
金門,二氧化氮,NO2,ppb,2023-03,12.5
金門,風速,WIND_SPEED,m/sec,2023-03,2.5
金門,溫度,AMB_TEMP,℃,2023-03,17.1
金門,細懸浮微粒,PM2.5,μg/m3,2023-03,26
金門,相對濕度,RH,%,2023-03,77
馬公,二氧化硫,SO2,ppb,2023-03,0.6
馬公,一氧化碳,CO,ppm,2023-03,0.19
馬公,臭氧,O3,ppb,2023-03,52.6
馬公,懸浮微粒,PM10,μg/m3,2023-03,25
馬公,氮氧化物,NOx,ppb,2023-03,4.1
馬公,一氧化氮,NO,ppb,2023-03,0.6
馬公,二氧化氮,NO2,ppb,2023-03,3.4
馬公,風速,WIND_SPEED,m/sec,2023-03,3.7
馬公,溫度,AMB_TEMP,℃,2023-03,20.7
馬公,細懸浮微粒,PM2.5,μg/m3,2023-03,14
馬公,相對濕度,RH,%,2023-03,72
關山,二氧化硫,SO2,ppb,2023-03,0.7
關山,一氧化碳,CO,ppm,2023-03,0.18
關山,臭氧,O3,ppb,2023-03,35.3
關山,懸浮微粒,PM10,μg/m3,2023-03,14
關山,氮氧化物,NOx,ppb,2023-03,3.8
關山,一氧化氮,NO,ppb,2023-03,0.8
關山,二氧化氮,NO2,ppb,2023-03,3
關山,風速,WIND_SPEED,m/sec,2023-03,1.2
關山,溫度,AMB_TEMP,℃,2023-03,20.7
關山,細懸浮微粒,PM2.5,μg/m3,2023-03,6
關山,相對濕度,RH,%,2023-03,74
麥寮,二氧化硫,SO2,ppb,2023-03,1.6
麥寮,一氧化碳,CO,ppm,2023-03,0.27
麥寮,臭氧,O3,ppb,2023-03,43.3
麥寮,懸浮微粒,PM10,μg/m3,2023-03,46
麥寮,氮氧化物,NOx,ppb,2023-03,8.9
麥寮,一氧化氮,NO,ppb,2023-03,1.5
麥寮,二氧化氮,NO2,ppb,2023-03,7.3
麥寮,風速,WIND_SPEED,m/sec,2023-03,3.3
麥寮,溫度,AMB_TEMP,℃,2023-03,20.4
麥寮,細懸浮微粒,PM2.5,μg/m3,2023-03,24
麥寮,相對濕度,RH,%,2023-03,81
富貴角,二氧化硫,SO2,ppb,2023-03,0.3
富貴角,一氧化碳,CO,ppm,2023-03,0.16
富貴角,臭氧,O3,ppb,2023-03,52.6
富貴角,懸浮微粒,PM10,μg/m3,2023-03,38
富貴角,氮氧化物,NOx,ppb,2023-03,3.4
富貴角,一氧化氮,NO,ppb,2023-03,0.1
富貴角,二氧化氮,NO2,ppb,2023-03,3.2
富貴角,風速,WIND_SPEED,m/sec,2023-03,4.8
富貴角,溫度,AMB_TEMP,℃,2023-03,17.7
富貴角,細懸浮微粒,PM2.5,μg/m3,2023-03,13
富貴角,相對濕度,RH,%,2023-03,82
大城,二氧化硫,SO2,ppb,2023-03,1.1
大城,一氧化碳,CO,ppm,2023-03,0.22
大城,臭氧,O3,ppb,2023-03,44.3
大城,懸浮微粒,PM10,μg/m3,2023-03,39
大城,氮氧化物,NOx,ppb,2023-03,8.2
大城,一氧化氮,NO,ppb,2023-03,1.4
大城,二氧化氮,NO2,ppb,2023-03,6.7
大城,風速,WIND_SPEED,m/sec,2023-03,4.1
大城,溫度,AMB_TEMP,℃,2023-03,20.3
大城,細懸浮微粒,PM2.5,μg/m3,2023-03,19
大城,相對濕度,RH,%,2023-03,77
觀音,懸浮微粒,PM10,μg/m3,2023-04,45
忠明,二氧化氮,NO2,ppb,2023-04,14.9
忠明,一氧化氮,NO,ppb,2023-04,1.3
忠明,氮氧化物,NOx,ppb,2023-04,16.2
忠明,懸浮微粒,PM10,μg/m3,2023-04,42
忠明,臭氧,O3,ppb,2023-04,34.6
忠明,一氧化碳,CO,ppm,2023-04,0.41
忠明,二氧化硫,SO2,ppb,2023-04,1.7
大里,相對濕度,RH,%,2023-04,72
大里,細懸浮微粒,PM2.5,μg/m3,2023-04,21
大里,溫度,AMB_TEMP,℃,2023-04,24.2
大里,風速,WIND_SPEED,m/sec,2023-04,1.5
大里,二氧化氮,NO2,ppb,2023-04,13.5
大里,一氧化氮,NO,ppb,2023-04,2
大里,氮氧化物,NOx,ppb,2023-04,15.6
大里,懸浮微粒,PM10,μg/m3,2023-04,46
大里,臭氧,O3,ppb,2023-04,31.1
大里,一氧化碳,CO,ppm,2023-04,0.43
大里,二氧化硫,SO2,ppb,2023-04,1.6
沙鹿,相對濕度,RH,%,2023-04,77
沙鹿,細懸浮微粒,PM2.5,μg/m3,2023-04,23
沙鹿,溫度,AMB_TEMP,℃,2023-04,23.5
沙鹿,風速,WIND_SPEED,m/sec,2023-04,2.3
沙鹿,二氧化氮,NO2,ppb,2023-04,11.5
沙鹿,一氧化氮,NO,ppb,2023-04,1.3
基隆,一氧化碳,CO,ppm,2023-04,0.32
沙鹿,氮氧化物,NOx,ppb,2023-04,12.9
沙鹿,懸浮微粒,PM10,μg/m3,2023-04,48
沙鹿,臭氧,O3,ppb,2023-04,37.4
沙鹿,一氧化碳,CO,ppm,2023-04,0.35
沙鹿,二氧化硫,SO2,ppb,2023-04,1.9
豐原,相對濕度,RH,%,2023-04,75
豐原,細懸浮微粒,PM2.5,μg/m3,2023-04,22
豐原,溫度,AMB_TEMP,℃,2023-04,23.1
豐原,風速,WIND_SPEED,m/sec,2023-04,1.8
豐原,二氧化氮,NO2,ppb,2023-04,9.1
豐原,一氧化氮,NO,ppb,2023-04,1.4
豐原,氮氧化物,NOx,ppb,2023-04,10.6
豐原,懸浮微粒,PM10,μg/m3,2023-04,39
豐原,臭氧,O3,ppb,2023-04,33.6
豐原,一氧化碳,CO,ppm,2023-04,0.35
豐原,二氧化硫,SO2,ppb,2023-04,1.8
三義,相對濕度,RH,%,2023-04,89
三義,細懸浮微粒,PM2.5,μg/m3,2023-04,19
三義,溫度,AMB_TEMP,℃,2023-04,20.9
三義,風速,WIND_SPEED,m/sec,2023-04,2.6
三義,二氧化氮,NO2,ppb,2023-04,6.2
三義,一氧化氮,NO,ppb,2023-04,0.9
三義,氮氧化物,NOx,ppb,2023-04,7.2
三義,懸浮微粒,PM10,μg/m3,2023-04,34
三義,臭氧,O3,ppb,2023-04,37.1
三義,一氧化碳,CO,ppm,2023-04,0.3
三義,二氧化硫,SO2,ppb,2023-04,1
苗栗,相對濕度,RH,%,2023-04,75
苗栗,細懸浮微粒,PM2.5,μg/m3,2023-04,22
苗栗,溫度,AMB_TEMP,℃,2023-04,22.7
苗栗,風速,WIND_SPEED,m/sec,2023-04,1.8
苗栗,二氧化氮,NO2,ppb,2023-04,8.9
苗栗,一氧化氮,NO,ppb,2023-04,1.6
苗栗,氮氧化物,NOx,ppb,2023-04,10.6
苗栗,懸浮微粒,PM10,μg/m3,2023-04,41
苗栗,臭氧,O3,ppb,2023-04,35.7
苗栗,一氧化碳,CO,ppm,2023-04,0.3
苗栗,二氧化硫,SO2,ppb,2023-04,1.9
頭份,相對濕度,RH,%,2023-04,87
頭份,細懸浮微粒,PM2.5,μg/m3,2023-04,19
頭份,溫度,AMB_TEMP,℃,2023-04,22.8
頭份,風速,WIND_SPEED,m/sec,2023-04,1.8
頭份,二氧化氮,NO2,ppb,2023-04,10.1
頭份,一氧化氮,NO,ppb,2023-04,1.8
頭份,氮氧化物,NOx,ppb,2023-04,12.1
頭份,懸浮微粒,PM10,μg/m3,2023-04,43
頭份,一氧化碳,CO,ppm,2023-04,0.32
頭份,二氧化硫,SO2,ppb,2023-04,1.7
新竹,相對濕度,RH,%,2023-04,79
新竹,細懸浮微粒,PM2.5,μg/m3,2023-04,19
新竹,溫度,AMB_TEMP,℃,2023-04,22.6
新竹,風速,WIND_SPEED,m/sec,2023-04,1.6
竹東,相對濕度,RH,%,2023-04,79
湖口,細懸浮微粒,PM2.5,μg/m3,2023-04,19
湖口,溫度,AMB_TEMP,℃,2023-04,22.2
湖口,風速,WIND_SPEED,m/sec,2023-04,2.3
湖口,二氧化氮,NO2,ppb,2023-04,9.6
湖口,一氧化氮,NO,ppb,2023-04,1
湖口,氮氧化物,NOx,ppb,2023-04,10.7
湖口,懸浮微粒,PM10,μg/m3,2023-04,41
湖口,臭氧,O3,ppb,2023-04,39.5
湖口,一氧化碳,CO,ppm,2023-04,0.3
湖口,二氧化硫,SO2,ppb,2023-04,1.2
大園,細懸浮微粒,PM2.5,μg/m3,2023-04,19
大園,溫度,AMB_TEMP,℃,2023-04,22.4
大園,風速,WIND_SPEED,m/sec,2023-04,2.8
大園,二氧化氮,NO2,ppb,2023-04,13.2
大園,一氧化氮,NO,ppb,2023-04,1.9
大園,氮氧化物,NOx,ppb,2023-04,15.2
大園,懸浮微粒,PM10,μg/m3,2023-04,42
大園,臭氧,O3,ppb,2023-04,38.9
大園,一氧化碳,CO,ppm,2023-04,0.31
大園,二氧化硫,SO2,ppb,2023-04,1.6
桃園,相對濕度,RH,%,2023-04,77
桃園,細懸浮微粒,PM2.5,μg/m3,2023-04,19
桃園,溫度,AMB_TEMP,℃,2023-04,22.1
桃園,風速,WIND_SPEED,m/sec,2023-04,1.6
桃園,二氧化氮,NO2,ppb,2023-04,14.4
桃園,一氧化氮,NO,ppb,2023-04,1.8
桃園,氮氧化物,NOx,ppb,2023-04,16.3
桃園,懸浮微粒,PM10,μg/m3,2023-04,40
桃園,臭氧,O3,ppb,2023-04,35.3
桃園,一氧化碳,CO,ppm,2023-04,0.41
桃園,二氧化硫,SO2,ppb,2023-04,1.4
大同,相對濕度,RH,%,2023-04,72
大同,細懸浮微粒,PM2.5,μg/m3,2023-04,21
大同,溫度,AMB_TEMP,℃,2023-04,
大同,風速,WIND_SPEED,m/sec,2023-04,
大同,二氧化氮,NO2,ppb,2023-04,24.8
大同,一氧化氮,NO,ppb,2023-04,16.3
大同,氮氧化物,NOx,ppb,2023-04,41.3
大同,懸浮微粒,PM10,μg/m3,2023-04,47
大同,臭氧,O3,ppb,2023-04,24.6
大同,一氧化碳,CO,ppm,2023-04,0.83
大同,二氧化硫,SO2,ppb,2023-04,1.2
松山,相對濕度,RH,%,2023-04,75
松山,細懸浮微粒,PM2.5,μg/m3,2023-04,16
松山,溫度,AMB_TEMP,℃,2023-04,22.7
松山,風速,WIND_SPEED,m/sec,2023-04,1.1
松山,二氧化氮,NO2,ppb,2023-04,15.9
松山,一氧化氮,NO,ppb,2023-04,2.9
松山,氮氧化物,NOx,ppb,2023-04,18.9
松山,懸浮微粒,PM10,μg/m3,2023-04,37
松山,臭氧,O3,ppb,2023-04,33.8
松山,一氧化碳,CO,ppm,2023-04,0.36
松山,二氧化硫,SO2,ppb,2023-04,1
古亭,相對濕度,RH,%,2023-04,72
古亭,細懸浮微粒,PM2.5,μg/m3,2023-04,19
古亭,溫度,AMB_TEMP,℃,2023-04,23
古亭,風速,WIND_SPEED,m/sec,2023-04,1.4
古亭,二氧化氮,NO2,ppb,2023-04,11.4
古亭,一氧化氮,NO,ppb,2023-04,1.5
萬華,氮氧化物,NOx,ppb,2023-04,21.1
萬華,懸浮微粒,PM10,μg/m3,2023-04,37
中山,相對濕度,RH,%,2023-04,77
中山,細懸浮微粒,PM2.5,μg/m3,2023-04,18
中山,溫度,AMB_TEMP,℃,2023-04,23.3
中山,風速,WIND_SPEED,m/sec,2023-04,1.6
林口,二氧化硫,SO2,ppb,2023-04,0.9
菜寮,相對濕度,RH,%,2023-04,73
菜寮,細懸浮微粒,PM2.5,μg/m3,2023-04,20
菜寮,溫度,AMB_TEMP,℃,2023-04,23.6
菜寮,風速,WIND_SPEED,m/sec,2023-04,1.9
菜寮,二氧化氮,NO2,ppb,2023-04,15.7
菜寮,一氧化氮,NO,ppb,2023-04,2.6
菜寮,氮氧化物,NOx,ppb,2023-04,18.4
菜寮,懸浮微粒,PM10,μg/m3,2023-04,37
菜寮,臭氧,O3,ppb,2023-04,36.3
菜寮,一氧化碳,CO,ppm,2023-04,0.45
菜寮,二氧化硫,SO2,ppb,2023-04,0.9
新莊,相對濕度,RH,%,2023-04,77
新莊,細懸浮微粒,PM2.5,μg/m3,2023-04,19
新莊,溫度,AMB_TEMP,℃,2023-04,22.4
新莊,風速,WIND_SPEED,m/sec,2023-04,1.9
新莊,二氧化氮,NO2,ppb,2023-04,14.2
新莊,一氧化氮,NO,ppb,2023-04,2.1
新莊,氮氧化物,NOx,ppb,2023-04,16.4
新莊,懸浮微粒,PM10,μg/m3,2023-04,41
新莊,臭氧,O3,ppb,2023-04,36.5
新莊,一氧化碳,CO,ppm,2023-04,0.39
新莊,二氧化硫,SO2,ppb,2023-04,0.9
板橋,相對濕度,RH,%,2023-04,74
板橋,細懸浮微粒,PM2.5,μg/m3,2023-04,19
板橋,溫度,AMB_TEMP,℃,2023-04,22.9
板橋,風速,WIND_SPEED,m/sec,2023-04,1.3
板橋,二氧化氮,NO2,ppb,2023-04,16
板橋,一氧化氮,NO,ppb,2023-04,2.2
板橋,氮氧化物,NOx,ppb,2023-04,18.3
板橋,懸浮微粒,PM10,μg/m3,2023-04,36
板橋,臭氧,O3,ppb,2023-04,34.7
板橋,一氧化碳,CO,ppm,2023-04,0.46
板橋,二氧化硫,SO2,ppb,2023-04,0.8
土城,相對濕度,RH,%,2023-04,74
土城,細懸浮微粒,PM2.5,μg/m3,2023-04,18
土城,溫度,AMB_TEMP,℃,2023-04,22.8
土城,風速,WIND_SPEED,m/sec,2023-04,1.1
土城,二氧化氮,NO2,ppb,2023-04,14.8
土城,一氧化氮,NO,ppb,2023-04,2.8
土城,氮氧化物,NOx,ppb,2023-04,17.7
土城,懸浮微粒,PM10,μg/m3,2023-04,38
土城,臭氧,O3,ppb,2023-04,33.9
土城,一氧化碳,CO,ppm,2023-04,0.42
土城,二氧化硫,SO2,ppb,2023-04,1.2
新店,相對濕度,RH,%,2023-04,74
新店,細懸浮微粒,PM2.5,μg/m3,2023-04,15
新店,溫度,AMB_TEMP,℃,2023-04,22.9
新店,風速,WIND_SPEED,m/sec,2023-04,1.6
新店,二氧化氮,NO2,ppb,2023-04,11
新店,一氧化氮,NO,ppb,2023-04,1.5
新店,氮氧化物,NOx,ppb,2023-04,12.6
新店,懸浮微粒,PM10,μg/m3,2023-04,33
新店,臭氧,O3,ppb,2023-04,37.9
新店,一氧化碳,CO,ppm,2023-04,0.34
新店,二氧化硫,SO2,ppb,2023-04,0.7
萬里,相對濕度,RH,%,2023-04,77
萬里,細懸浮微粒,PM2.5,μg/m3,2023-04,16
萬里,溫度,AMB_TEMP,℃,2023-04,21.7
萬里,風速,WIND_SPEED,m/sec,2023-04,2.9
萬里,二氧化氮,NO2,ppb,2023-04,4.1
萬里,一氧化氮,NO,ppb,2023-04,0.9
萬里,氮氧化物,NOx,ppb,2023-04,5.1
萬里,懸浮微粒,PM10,μg/m3,2023-04,43
萬里,臭氧,O3,ppb,2023-04,43.3
萬里,一氧化碳,CO,ppm,2023-04,0.25
萬里,二氧化硫,SO2,ppb,2023-04,0.5
汐止,相對濕度,RH,%,2023-04,78
汐止,細懸浮微粒,PM2.5,μg/m3,2023-04,16
汐止,溫度,AMB_TEMP,℃,2023-04,22.5
汐止,風速,WIND_SPEED,m/sec,2023-04,0.8
汐止,二氧化氮,NO2,ppb,2023-04,14.4
汐止,一氧化氮,NO,ppb,2023-04,3.3
汐止,氮氧化物,NOx,ppb,2023-04,17.9
汐止,懸浮微粒,PM10,μg/m3,2023-04,34
汐止,臭氧,O3,ppb,2023-04,31.7
汐止,一氧化碳,CO,ppm,2023-04,0.34
汐止,二氧化硫,SO2,ppb,2023-04,1.1
基隆,相對濕度,RH,%,2023-04,82
基隆,細懸浮微粒,PM2.5,μg/m3,2023-04,17
基隆,溫度,AMB_TEMP,℃,2023-04,21.9
基隆,風速,WIND_SPEED,m/sec,2023-04,0.8
基隆,二氧化氮,NO2,ppb,2023-04,9.4
基隆,一氧化氮,NO,ppb,2023-04,1.6
基隆,氮氧化物,NOx,ppb,2023-04,11.2
基隆,懸浮微粒,PM10,μg/m3,2023-04,34
基隆,臭氧,O3,ppb,2023-04,36.7
基隆,二氧化硫,SO2,ppb,2023-04,0.9
忠明,風速,WIND_SPEED,m/sec,2023-04,1.5
頭份,臭氧,O3,ppb,2023-04,35.9
安南,臭氧,O3,ppb,2023-04,38.6
忠明,細懸浮微粒,PM2.5,μg/m3,2023-04,21
忠明,相對濕度,RH,%,2023-04,78
西屯,二氧化硫,SO2,ppb,2023-04,1.4
西屯,一氧化碳,CO,ppm,2023-04,0.36
西屯,臭氧,O3,ppb,2023-04,34.4
西屯,懸浮微粒,PM10,μg/m3,2023-04,45
西屯,氮氧化物,NOx,ppb,2023-04,15.9
西屯,一氧化氮,NO,ppb,2023-04,2.1
西屯,二氧化氮,NO2,ppb,2023-04,13.7
西屯,風速,WIND_SPEED,m/sec,2023-04,1.9
西屯,溫度,AMB_TEMP,℃,2023-04,23.7
西屯,細懸浮微粒,PM2.5,μg/m3,2023-04,25
西屯,相對濕度,RH,%,2023-04,75
彰化,二氧化硫,SO2,ppb,2023-04,1.4
彰化,一氧化碳,CO,ppm,2023-04,0.38
彰化,臭氧,O3,ppb,2023-04,36
彰化,懸浮微粒,PM10,μg/m3,2023-04,49
彰化,氮氧化物,NOx,ppb,2023-04,13.5
彰化,一氧化氮,NO,ppb,2023-04,1.6
彰化,二氧化氮,NO2,ppb,2023-04,11.8
彰化,風速,WIND_SPEED,m/sec,2023-04,1.4
彰化,溫度,AMB_TEMP,℃,2023-04,24.4
彰化,細懸浮微粒,PM2.5,μg/m3,2023-04,24
彰化,相對濕度,RH,%,2023-04,72
線西,二氧化硫,SO2,ppb,2023-04,2.1
線西,一氧化碳,CO,ppm,2023-04,0.34
線西,臭氧,O3,ppb,2023-04,36.7
線西,懸浮微粒,PM10,μg/m3,2023-04,50
線西,氮氧化物,NOx,ppb,2023-04,12
線西,一氧化氮,NO,ppb,2023-04,1.3
線西,二氧化氮,NO2,ppb,2023-04,10.6
線西,風速,WIND_SPEED,m/sec,2023-04,2.8
線西,溫度,AMB_TEMP,℃,2023-04,23.4
線西,細懸浮微粒,PM2.5,μg/m3,2023-04,24
線西,相對濕度,RH,%,2023-04,79
二林,二氧化硫,SO2,ppb,2023-04,2.3
二林,一氧化碳,CO,ppm,2023-04,0.36
二林,臭氧,O3,ppb,2023-04,37
二林,懸浮微粒,PM10,μg/m3,2023-04,61
二林,氮氧化物,NOx,ppb,2023-04,8.4
二林,一氧化氮,NO,ppb,2023-04,0.5
